SKU,COST,CURRENCY,CREATED_DATE
046074111211,29.619999999999997,USD,11/10/2023 9:20:17 PM
046074115691,401.44,USD,11/10/2023 9:20:16 PM
046074116551,650.22,USD,11/10/2023 9:20:17 PM
046074117565,50.71,USD,11/10/2023 9:20:16 PM
046074118173,185.25,USD,11/10/2023 9:20:16 PM
046074120626,60.89,USD,11/10/2023 9:20:18 PM
046074120893,14.7,USD,11/10/2023 9:20:16 PM
046074130281,250.34,USD,11/10/2023 9:20:16 PM
046074131622,226.69,USD,11/10/2023 9:20:18 PM
046074132599,23.55,USD,11/10/2023 9:20:18 PM
046074132704,161.37,USD,11/10/2023 9:20:16 PM
046074133251,205.9,USD,11/10/2023 9:20:16 PM
046074134920,25.240000000000002,USD,11/10/2023 9:20:18 PM
046074134937,26.119999999999997,USD,11/10/2023 9:20:16 PM
046074140723,151.05,USD,11/10/2023 9:20:16 PM
046074141881,254.36,USD,11/10/2023 9:20:17 PM
046074141942,281.27,USD,11/10/2023 9:20:17 PM
046074143878,398.12,USD,11/10/2023 9:20:18 PM
046074147180,47.49,USD,11/10/2023 9:20:17 PM
046074148507,68.1,USD,11/10/2023 9:20:17 PM
046074154379,150.81,USD,11/10/2023 9:20:17 PM
046074155079,19.95,USD,11/10/2023 9:20:17 PM
046074155086,221.27,USD,11/10/2023 9:20:17 PM
046074157844,52.59,USD,11/10/2023 9:20:17 PM
046074157851,948.99,USD,11/10/2023 9:20:17 PM
046074159367,73.32,USD,11/10/2023 9:20:16 PM
046074159664,97.51,USD,11/10/2023 9:20:17 PM
046074160066,34.43,USD,11/10/2023 9:20:17 PM
046074161926,185.25,USD,11/10/2023 9:20:18 PM
046074165894,44.09,USD,11/10/2023 9:20:17 PM
046074172021,52.11,USD,11/10/2023 9:20:17 PM
046074172038,107.26,USD,11/10/2023 9:20:17 PM
046074172144,188.25,USD,11/10/2023 9:20:17 PM
046074179471,332.75,USD,11/10/2023 9:20:18 PM
047116206247,65.17,USD,11/10/2023 9:20:17 PM
047116206254,240.74,USD,11/10/2023 9:20:19 PM
047116206704,16.21,USD,11/10/2023 9:20:17 PM
047853644128,60.32,USD,11/10/2023 9:20:18 PM
047853645392,68.08,USD,11/10/2023 9:20:18 PM
047853657944,20.03,USD,11/10/2023 9:20:17 PM
054137049494,407.93,USD,11/10/2023 9:20:17 PM
